Player,Pos,Team,Owner,Slot,Acq
Brandin Cooks,WR,NOR,Scott,WR,Draft
Greg Olsen,TE,CAR,Scott,TE,Draft
Ezekiel Elliott,RB,DAL,Scott,FLEX,Draft
Texans,DST,HOU,Scott,D/ST,Draft
Cairo Santos,K,KAN,Scott,K,Free Agency
Brandon Marshall,WR,NYJ,Scott,Bench,Draft
Frank Gore,RB,IND,Scott,Bench,Draft
Kelvin Benjamin,WR,CAR,Scott,Bench,Draft
Ryan Mathews,RB,PHI,Scott,Bench,Draft
Spencer Ware,RB,KAN,Scott,Bench,Draft
Alfred Morris,RB,DAL,Scott,Bench,Draft
Jamaal Charles,RB,KAN,Scott,Bench,Free Agency
Blake Bortles,QB,JAC,Petr,QB,Draft
LeSean McCoy,RB,BUF,Petr,RB,Draft
DeMarco Murray,RB,TEN,Petr,RB,Draft
Odell Beckham Jr.,WR,NYG,Petr,WR,Draft
Travis Benjamin,WR,SDG,Petr,WR,Free Agency
Jordan Reed,TE,WAS,Petr,TE,Draft
Carlos Hyde,RB,SFO,Petr,FLEX,Draft
Cardinals,DST,ARI,Petr,D/ST,Draft
Matt Bryant,K,ATL,Petr,K,Free Agency
Devonta Freeman,RB,ATL,Petr,Bench,Draft
Randall Cobb,WR,GNB,Petr,Bench,Draft
Jarvis Landry,WR,MIA,Petr,Bench,Draft
Eli Manning,QB,NYG,Petr,Bench,Draft
Tevin Coleman,RB,ATL,Petr,Bench,Free Agency
Stefon Diggs,WR,MIN,Petr,Bench,Free Agency
Jordan Howard,RB,CHI,Petr,Bench,Free Agency
